Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Protestan Reformuna Giden Yol,Kitap > Tarih > Araştırma-İnceleme > Kitap > Din > Hristiyanlık,Banu Çetin Ünal,MOTTO,5 / 5 (1 oy),63,4,1,1,"296,00",07.02.2024,TÜRKÇE,136,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,98,0
Bilim ve Felsefe İlişkisi Üzerine Düşünceler,Kitap > Felsefe-Düşünce > Diğer,Süleyman Eryiğit,NET KİTAPLIK YAYINCILIK,Puan Yok,36,1,0,0,"385,00",15.06.2021,TÜRKÇE,232,Karton Kapak,13 x 20 cm,Kitap Kağıdı,69,0
"İnsan Soyunun EğitimiAydınlanma, Din ve Eğitim",Kitap > Eğitim > Diğer > Kitap > Felsefe-Düşünce > Genel,Gotthold Ephraim Lessing,SAY YAYIN GRUBU-KAMPANYA,4 / 5 (15 oy),288,24,2,7,"250,00",14.03.2011,TÜRKÇE,184,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,330,2
Dünya Acısı,Kitap > Edebiyat > Roman (Yerli),Çağdaş Ünbal,BANLİYÖ KİTAP,5 / 5 (3 oy),23,4,1,5,"130,00",21.07.2023,TÜRKÇE,112,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,345,2
Kalemlerin İz Düşümleri,Kitap > Edebiyat > Hikaye (Yerli),Hüseyin Akdağ,BANLİYÖ KİTAP,Puan Yok,4,0,0,0,"150,00",16.05.2023,TÜRKÇE,144,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,168,0
Nietzsche ve Hukuk,Kitap > Hukuk > Felsefe,Serdar  Koçak,SARMAL KİTABEVİ,5 / 5 (1 oy),62,2,0,0,"270,00",06.11.2023,TÜRKÇE,320,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,72,1
Ailenizin DoktoruTanı ve Tedavi Rehberi,Kitap > Sağlık-Tıp > Genel,Sue Davidson,İNKILAP KİTABEVİ-KAMPANYA,5 / 5 (3 oy),30,0,0,2,"1.390,00",20.01.2011,TÜRKÇE,320,Karton Kapak,21 x 28 cm,Kuşe Kağıt,22,1
Kutsal Işığın Altında,Kitap > Edebiyat > Roman (Çeviri),Tracy Chevalier,BİLGE KÜLTÜR SANAT,4 / 5 (5 oy),53,4,0,6,"275,00",15.01.2010,TÜRKÇE,336,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,44,2
Gülhayat,Kitap > Edebiyat > Roman (Yerli),Arzu Sunar Özcan,ALAN YAYINCILIK,5 / 5 (3 oy),11,1,0,3,"402,00",31.01.2024,TÜRKÇE,288,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,73,3
Osmanlı Devleti'nde Hal' Vak'alarının Dönüşümü,Kitap > Tarih > Türk-Osmanlı,İhsan Alpargın,KRONOLOJİ YAYINLARI,5 / 5 (5 oy),44,0,0,2,"200,00",17.03.2022,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,244,1
