Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Linç Çıkmazı,Kitap > Çocuk Kitapları > Roman,Anıl Basılı,TİMAŞ İLK GENÇ,5 / 5 (78 oy),1.433,104,16,171,"190,00",06.02.2024,TÜRKÇE,192,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,5530,47
Fedailerin Kalesi Alamut,Kitap > Edebiyat > Roman (Yerli),Vladimir Bartol,KORİDOR YAYINCILIK,5 / 5 (3576 oy),16.757,1.559,231,4.563,"340,00",09.03.2012,TÜRKÇE,510,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,36664,1.984
Son Ayı,Kitap > Edebiyat > Roman (Çeviri),Hannah Gold,TİMAŞ GENÇ,5 / 5 (174 oy),3.008,244,26,332,"210,00",08.08.2023,TÜRKÇE,208,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,10099,99
Vücudunuz Hayır DiyorsaDuygusal Stresin Bedelleri,Kitap > Psikoloji > İnceleme,Gabor Mate,İLETİŞİM YAYINLARI,5 / 5 (295 oy),12.495,551,66,328,"460,00",19.12.2022,TÜRKÇE,382,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,15913,142
Otomatik Portakal (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Anthony Burgess,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,4 / 5 (9080 oy),36.144,4.773,418,10.905,"92,00",10.09.2019,TÜRKÇE,171,Karton Kapak,12.5 x 20.5 cm,Kitap Kağıdı,98499,3.982
Harry Potter ve Zümrüdüanka Yoldaşlığı,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce",J. K. Rowling,YAPI KREDİ YAYINLARI,5 / 5 (1950 oy),9.624,998,147,2.860,"750,00",21.09.2023,TÜRKÇE,975,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,28046,866
Dinozorlar / İlk Okuma,Kitap > Çocuk Kitapları > Kaynak Kitaplar > Bilim,Stephanie Turnbull,TÜBİTAK YAYINLARI,5 / 5 (241 oy),1.230,89,21,311,"29,00",09.08.2017,TÜRKÇE,30,Karton Kapak,13.5 x 20 cm,Kuşe Kağıt,9848,120
Martı Jonathan Livingston,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Richard Bach,EPSİLON YAYINEVİ,5 / 5 (5774 oy),22.162,1.919,160,8.252,"225,00",01.01.2015,TÜRKÇE,152,Karton Kapak,13 x 19.5 cm,1. Hm. Kağıt,69460,2.731
Beyinde Ararken Bağırsakta Buldum,Kitap > Kültür > Popüler Kültür,Serkan Karaismailoğlu,ELMA YAYINEVİ,5 / 5 (1336 oy),9.975,800,116,1.618,"340,00",07.07.2017,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,25438,735
Beyaz Zambaklar Ülkesinde,Kitap > Edebiyat > Deneme (Çeviri),Grigory Petrov,KAPRA YAYINCILIK,5 / 5 (501 oy),9.470,610,75,1.532,"20,00",28.11.2020,TÜRKÇE,104,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,39727,290
Yol,Kitap > Edebiyat > Roman (Çeviri),Jack London,KAPRA YAYINCILIK,5 / 5 (216 oy),2.256,192,14,243,"30,00",28.11.2020,TÜRKÇE,158,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7088,111
Beyaz Diş,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Edebiyat > 100 Temel Eser,Jack London,KAPRA YAYINCILIK,5 / 5 (223 oy),4.143,275,35,652,"30,00",28.11.2020,TÜRKÇE,224,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,16581,117
Sadako,Kitap > Çocuk Kitapları > Roman,Takayukı  Ishıı,YAKAMOZ YAYINCILIK,5 / 5 (44 oy),867,64,9,148,"150,00",18.01.2022,TÜRKÇE,160,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,5034,27
İnsanlar,Kitap > Edebiyat > Diğer,Matt Haig,DOMİNGO YAYINEVİ,5 / 5 (379 oy),11.165,696,100,997,"295,00",01.04.2022,TÜRKÇE,296,Karton Kapak,14 x 21 cm,Kitap Kağıdı,17066,241
Postayla Gelen Deniz Kabuğu,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Behiç Ak,GÜNIŞIĞI KİTAPLIĞI,5 / 5 (363 oy),3.590,226,31,532,"295,00",18.10.2024,TÜRKÇE,160,Karton Kapak,12 x 18 cm,Kitap Kağıdı,31666,149
Sudaki Umut Benoy,Kitap > Çocuk Kitapları > Hikaye > Kitap > Diğer > Gençlik Kitapları > Edebiyat,Merve Kahraman Öztürk,DİYANET VAKFI YAYINLARI,5 / 5 (15 oy),114,23,4,30,"120,00",10.10.2024,TÜRKÇE,72,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2401,8
Bu Ülke,Kitap > Kültür > Kültür Yazıları > Kitap > Sosyoloji > Sosyoloji Yazıları > Kitap > Edebiyat > 100 Temel Eser,Cemil Meriç,İLETİŞİM YAYINLARI,5 / 5 (3513 oy),26.781,2.620,363,3.471,"390,00",12.09.2025,TÜRKÇE,339,Karton Kapak,13 x 19.5 cm,3. Hm. Kağıt,51300,1.667
Nazoşi Teyze Bir Kedi Daha İstiyor,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (28 oy),668,29,5,70,"90,00",07.08.2024,TÜRKÇE,32,Karton Kapak,15 x 21 cm,Kitap Kağıdı,2529,19
Veda Etmiyorum,Kitap > Edebiyat > Roman (Çeviri),Han Kang,APRIL YAYINCILIK,4 / 5 (104 oy),4.534,242,20,178,"290,00",07.06.2024,TÜRKÇE,264,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6439,62
Gizemli Yaprağın Peşinde,Kitap > Çocuk Kitapları > Roman,Faruk Yıldız,ERDEM ÇOCUK YAYINLARI,5 / 5 (75 oy),696,51,7,96,"130,00",11.10.2024,TÜRKÇE,128,Karton Kapak,12.5 x 21 cm,Kitap Kağıdı,8681,34
İntermezzo,Kitap > Edebiyat > Roman (Çeviri),Sally Rooney,CAN YAYINLARI,4 / 5 (66 oy),6.008,234,30,138,"420,00",24.09.2024,TÜRKÇE,412,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,6195,33
"Ben, Kirke",Kitap > Edebiyat > Roman (Çeviri),Madeline Miller,İTHAKİ YAYINLARI,4 / 5 (2064 oy),31.704,2.483,314,3.662,"290,00",25.01.2021,TÜRKÇE,408,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,59627,1.143
Hapı Yuttuk Eczanesi,Kitap > Çocuk Kitapları > Hikaye,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (141 oy),3.095,229,24,289,"125,00",05.03.2025,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,17123,80
Filozof Meşe,Kitap > Çocuk Kitapları > Roman,Anooshirvan  Miandji,BİLGİ ÇOCUK KİTAPLARI,5 / 5 (176 oy),1.279,61,15,185,"165,00",28.08.2018,TÜRKÇE,64,Karton Kapak,13.3 x 19.5 cm,Kitap Kağıdı,10843,97
İbni Haldun,Kitap > Felsefe-Düşünce > Diğer,Prof. Dr. Ahmet Arslan,ALFA YAYINLARI,5 / 5 (22 oy),2.022,130,13,22,"550,00",10.10.2024,TÜRKÇE,496,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1867,8
Malma İstasyonu,Kitap > Edebiyat > Roman (Çeviri),Alex Schulman,TİMAŞ YAYINLARI,5 / 5 (81 oy),3.799,132,12,128,"300,00",14.02.2025,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4085,49
İyi Hissetmek,Kitap > Psikoloji > Psikolojik Danışma > Kitap > Orijinal Dil > İngilizce,Dr. David D. Burns,PSİKONET YAYINLARI,5 / 5 (2650 oy),32.794,2.301,584,2.473,"640,00",01.04.2012,TÜRKÇE,632,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,73412,1.300
101 Atasözü 101 Öykü,Kitap > Çocuk Kitapları > Kaynak Kitaplar > Genel > Kitap > Diğer > Atasözleri & Deyimler,Süleyman Bulut,CAN ÇOCUK YAYINLARI,5 / 5 (925 oy),4.036,362,106,893,"300,00",01.03.2019,TÜRKÇE,200,Karton Kapak,16 x 24 cm,Kitap Kağıdı,36806,421
Mahallenin En Mutlu Bebeği,Kitap > Eğitim > Çocuk Eğitimi > Kitap > Eğitim > Annelik-Babalık-Aile,Dr. Harvey Karp,YAKAMOZ YAYINCILIK,4 / 5 (387 oy),2.819,206,30,351,"300,00",01.07.2012,TÜRKÇE,392,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,13015,211
Kendine Ait Bir Oda,Kitap > Edebiyat > Roman (Çeviri),Virginia Woolf,KAPRA YAYINCILIK,5 / 5 (235 oy),5.939,373,30,490,"25,00",28.11.2020,TÜRKÇE,120,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,13108,114
Kalk Yerine Yat,Kitap > Edebiyat > Hikaye (Yerli),Şermin Yaşar,DOĞAN KİTAP,5 / 5 (389 oy),7.088,616,91,970,"185,00",21.02.2025,TÜRKÇE,168,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,16193,257
Huzursuzluğun Kitabı,Kitap > Edebiyat > Deneme (Çeviri) > Kitap > Edebiyat > Anlatı > Kitap > Orijinal Dil > Portekizce,Fernando Pessoa,CAN YAYINLARI,5 / 5 (1005 oy),16.667,1.171,169,813,"400,00",21.09.2021,TÜRKÇE,675,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,18933,415
Huşu Ağacı,Kitap > Kişisel Gelişim,Funda Uçuk Er,HAYY KİTAP,5 / 5 (35 oy),1.514,76,13,92,"350,00",13.05.2025,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1955,29
Mülksüzler,Kitap > Edebiyat > Bilimkurgu-Fantazya > Kitap > Orijinal Dil > İngilizce,Ursula K. Le Guin,METİS YAYINLARI,5 / 5 (1467 oy),18.252,1.536,146,1.576,"358,00",31.05.2021,TÜRKÇE,344,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,25291,695
Beyaz Geceler,Kitap > Edebiyat > Roman (Çeviri),Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,5 / 5 (108 oy),3.906,174,18,311,"20,00",05.02.2021,TÜRKÇE,72,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,8800,60
Çalıkuşu (Gençler İçin),Kitap > Edebiyat > Roman (Yerli) > Kitap > Edebiyat > 100 Temel Eser,Reşat Nuri Güntekin,İNKILAP KİTABEVİ,5 / 5 (442 oy),2.447,302,52,584,"265,00",06.09.2000,TÜRKÇE,120,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,11989,208
Allah Sevdiğine Dert Verir,Kitap > Din > Diğer,Mehmet  Yıldız,TİMAŞ YAYINLARI,5 / 5 (169 oy),1.540,141,25,43,"400,00",05.03.2025,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5484,154
Türkçülüğün Esasları,Kitap > Sosyoloji > Araştırma-İnceleme,Ziya Gökalp,KAPRA YAYINCILIK,5 / 5 (146 oy),2.784,173,18,206,"30,00",13.01.2021,TÜRKÇE,176,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,8763,68
Dedem Kodlama Öğreniyor,Kitap > Çocuk Kitapları > Hikaye,Cansu Demirbağ,ERDEM ÇOCUK YAYINLARI,5 / 5 (21 oy),384,45,11,49,"110,00",12.12.2023,TÜRKÇE,112,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,3032,10
Stoacının Günlüğü,Kitap > Kişisel Gelişim,Ryan Holiday,PEGASUS YAYINLARI,5 / 5 (113 oy),6.556,262,46,131,"499,98",19.01.2021,TÜRKÇE,432,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7809,58
Sınıftaki Gizemli Saat – Faruk,Kitap > Çocuk Kitapları > Hikaye,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (100 oy),1.690,106,13,252,"110,00",10.10.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12914,60
Gizli Bir Hazine / Hayat Dediğin 3,Kitap > Çocuk Kitapları > Roman,Doç. Dr. Saniye Bencik Kangal,KRONİK KİTAP,5 / 5 (66 oy),1.021,55,2,134,"195,00",21.03.2024,TÜRKÇE,96,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,4477,41
Rahatlama KitabıSuyun Üstünde Kalmamı Sağlayan Düşünceler,Kitap > Kişisel Gelişim,Matt Haig,DOMİNGO YAYINEVİ,4 / 5 (124 oy),6.752,282,31,254,"280,00",29.07.2022,TÜRKÇE,272,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,7376,61
Uçabileceğini Hayal Eden Tavuk,Kitap > Edebiyat > Roman (Çeviri),Sun-Mı Hwang,TİMAŞ GENÇ,5 / 5 (307 oy),3.491,224,22,532,,13.11.2024,TÜRKÇE,96,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,12360,161
Harry Potter ve Felsefe Taşı,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce",J. K. Rowling,YAPI KREDİ YAYINLARI,5 / 5 (3878 oy),13.457,1.872,360,5.986,"250,00",07.10.2023,TÜRKÇE,274,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,60520,1.877
Kur’an’ın Anlattığı Tarih: Türkiye,Kitap > İslam > Araştırma-İnceleme,Talha Uğurluel,TİMAŞ YAYINLARI,5 / 5 (137 oy),4.030,322,44,179,"450,00",08.11.2024,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6568,93
Aç Niyazi,Kitap > Çocuk Kitapları > Çizgi Roman,Hatice Kübra Tongar,AİLE YAYINLARI,5 / 5 (86 oy),887,94,13,193,"120,00",09.02.2024,TÜRKÇE,64,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7558,63
Güneşi Uyandıralım,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Portekizce",Jose Mauro De Vasconcelos,CAN YAYINLARI,5 / 5 (4659 oy),32.237,2.812,272,5.932,"385,00",06.08.2019,TÜRKÇE,272,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,76152,2.045
Gülün Adı (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İtalyanca,Umberto Eco,CAN YAYINLARI,5 / 5 (2941 oy),24.594,2.660,261,2.745,"565,00",12.09.2019,TÜRKÇE,732,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,40362,1.390
Şeker Portakalı (Ciltsiz),"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 100 Temel Eser > Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Portekizce",Jose Mauro De Vasconcelos,CAN YAYINLARI,5 / 5 (22662 oy),71.571,8.361,1.228,30.283,"295,00",06.09.2019,TÜRKÇE,184,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,300822,10.648
On Kişiydiler (On Küçük Zenci),Kitap > Edebiyat > Polisiye,Agatha Christie,ALTIN KİTAPLAR,5 / 5 (474 oy),10.078,562,64,1.174,"255,00",08.08.2023,TÜRKÇE,224,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,16225,330
İFA - İnsanın Fabrika Ayarları (Genişletilmiş Yeni Baskı),Kitap > Bilim & Mühendislik > Popüler Bilim,Sinan Canan,TUTİ KİTAP,5 / 5 (123 oy),4.163,303,73,169,"570,00",10.10.2022,TÜRKÇE,552,Karton Kapak,14.5 x 23 cm,Kitap Kağıdı,9822,71
Kinyas ve Kayra,Kitap > Edebiyat > Roman (Yerli),Hakan Günday,DOĞAN KİTAP,4 / 5 (1395 oy),17.659,1.234,155,1.858,"440,00",27.04.2022,TÜRKÇE,531,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,21020,753
Ayasofya'da Bir Gece,"Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal",Rana Demiriz,TİMAŞ GENÇ,5 / 5 (296 oy),2.778,249,40,411,"200,00",10.03.2020,TÜRKÇE,192,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,14292,131
Kalbi İyi Olanın Yolu Zordur,Kitap > Kişisel Gelişim,Miraç Çağrı Aktaş,İNDİGO KİTAP,5 / 5 (35 oy),2.592,117,22,76,"260,00",10.10.2024,TÜRKÇE,200,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3681,24
İktidar (Güç Sahibi Olmanın 48 Yasası),Kitap > Ekonomi > İş Dünyası > Kitap > Orijinal Dil > İngilizce,Robert Greene,ALTIN KİTAPLAR,4 / 5 (443 oy),11.016,762,119,417,"600,00",08.08.2023,TÜRKÇE,622,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,18552,251
İçimizdeki Şeytan,Kitap > Edebiyat > Roman (Yerli),Sabahattin Ali,KAPRA YAYINCILIK,5 / 5 (141 oy),3.242,225,27,480,"50,00",13.01.2021,TÜRKÇE,303,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,10522,81
Bakara Suresi Sohbetleri,Kitap > İslam > Araştırma-İnceleme,Nouman Ali Khan,TİMAŞ YAYINLARI,5 / 5 (160 oy),6.120,310,48,294,"325,00",17.03.2025,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,10157,102
Kendime Düşünceler,Kitap > Felsefe-Düşünce > Diğer,Marcus Aurelius,KAPRA YAYINCILIK,5 / 5 (87 oy),2.837,159,19,137,"30,00",12.06.2023,TÜRKÇE,160,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7657,50
Sırların Sırrı,Kitap > Edebiyat > Roman (Çeviri),Dan Brown,ALTIN KİTAPLAR,5 / 5 (44 oy),2.763,289,25,51,"690,00",09.09.2025,TÜRKÇE,656,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,4554,25
Hayvanlardan Tanrılara Sapiensİnsan Türünün Kısa Bir Tarihi,Kitap > Bilim & Mühendislik > Popüler Bilim > Kitap > Orijinal Dil > İngilizce,Yuval Noah Harari,KOLEKTİF KİTAP,5 / 5 (5465 oy),29.032,3.802,895,5.792,"520,00",15.03.2017,TÜRKÇE,412,Karton Kapak,15 x 21.5 cm,Kitap Kağıdı,78268,2.368
Malamander,Kitap > Edebiyat > Bilimkurgu-Fantazya,Thomas Taylor,TİMAŞ GENÇ,5 / 5 (275 oy),3.600,338,39,534,"290,00",05.08.2021,TÜRKÇE,320,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,12030,157
En Güzel İsimler 99 Esma Sonsuz Mana,Kitap > İslam > Kültür,Fatma Bayram,DİYANET İŞLERİ BAŞKANLIĞI,5 / 5 (144 oy),3.380,238,104,188,"150,00",01.04.2025,TÜRKÇE,345,Karton Kapak,15.8 x 23.5 cm,Kitap Kağıdı,10686,87
Babil,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Edebiyat > Bilimkurgu-Fantazya,R. F. Kuang,İTHAKİ YAYINLARI,5 / 5 (45 oy),2.821,144,24,82,"540,00",03.10.2024,TÜRKÇE,664,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2063,24
Kürk Mantolu Madonna,Kitap > Edebiyat > Roman (Yerli),Sabahattin Ali,KAPRA YAYINCILIK,5 / 5 (147 oy),3.094,184,21,740,"30,00",13.01.2021,TÜRKÇE,176,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,15559,95
İlk Okuma - Yavru Hayvanlar,Kitap > Çocuk Kitapları > Hikaye,Emily Bone,TÜBİTAK YAYINLARI,5 / 5 (161 oy),769,85,8,197,"30,00",04.04.2019,TÜRKÇE,31,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,7066,76
Öfke Dansı,Kitap > Psikoloji > Psikolojik Danışma > Kitap > Orijinal Dil > İngilizce,Harriet Lerner,VARLIK YAYINLARI,5 / 5 (659 oy),8.307,615,89,712,"350,00",16.06.2025,TÜRKÇE,199,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,21273,352
İrade Terbiyesi (Cep Boy) (Tam Metin),Kitap > Kişisel Gelişim,Jules Payot,KARBON KİTAPLAR,5 / 5 (375 oy),3.461,431,62,358,"20,00",13.05.2020,TÜRKÇE,280,Karton Kapak,10.5 x 15 cm,Kitap Kağıdı,18666,180
