Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Atomik Alışkanlıklar,Kitap > Kişisel Gelişim,James Clear,PEGASUS YAYINLARI,5 / 5 (915 oy),38.948,2.584,496,1.887,"399,98",08.05.2020,TÜRKÇE,352,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,73214,542
Çocuk Kalbi,Kitap > Edebiyat > Roman (Çeviri),Edmondo De Amicis,KAPRA YAYINCILIK,5 / 5 (269 oy),4.292,307,31,524,"30,00",28.11.2020,TÜRKÇE,296,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,17814,131
Derviş Kelamı,Kitap > Edebiyat > Roman (Yerli),Funda Uçuk Er,HAYY KİTAP,5 / 5 (192 oy),2.845,192,22,383,"325,00",13.04.2022,TÜRKÇE,200,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,10405,129
İçimdeki Melodi,Kitap > Çocuk Kitapları > Roman,Sharon M. Draper,TİMAŞ GENÇ,5 / 5 (296 oy),7.561,550,74,715,"290,00",05.11.2022,TÜRKÇE,320,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,15378,189
En Güzel Kıssa,Kitap > İslam > Araştırma-İnceleme,Fatma Bayram,TİMAŞ YAYINLARI,5 / 5 (163 oy),3.584,218,50,188,"325,00",06.06.2023,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,8805,105
Canım Arkadaşım,Kitap > Çocuk Kitapları > Diğer,Özgür Balpınar,TİMAŞ GENÇ,5 / 5 (257 oy),2.432,249,21,413,,03.06.2025,TÜRKÇE,192,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,12553,123
Momo,Kitap > Edebiyat > Roman (Çeviri),Michael Ende,PEGASUS YAYINLARI,5 / 5 (10652 oy),56.950,5.782,698,12.026,"350,00",07.09.2017,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,239331,5.148
On Numara Beş Yıldız Apartmanı,Kitap > Çocuk Kitapları > Hikaye,Ece Erdoğuş Levi,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (60 oy),1.443,69,8,110,"110,00",03.09.2024,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,5596,34
Mükemmeller Kulübü,Kitap > Çocuk Kitapları > Roman,Anıl Basılı,TİMAŞ İLK GENÇ,5 / 5 (138 oy),2.213,156,18,342,"135,00",04.04.2023,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,11437,80
Dura Mater,Kitap > Bilim & Mühendislik > Popüler Bilim,Serkan Karaismailoğlu,ELMA YAYINEVİ,5 / 5 (478 oy),4.547,580,90,954,"440,00",20.08.2021,TÜRKÇE,560,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,15857,307
Hayvan Çiftliği,Kitap > Edebiyat > Roman (Çeviri),George Orwell,KAPRA YAYINCILIK,5 / 5 (432 oy),4.001,411,64,1.385,"25,00",05.01.2021,TÜRKÇE,96,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,25168,259
Gizemli Misafir / Kuran Kıssalarından Bugüne,Kitap > Çocuk Kitapları > Hikaye,Ayşe Şeker Kılıç,DİYANET VAKFI YAYINLARI,5 / 5 (22 oy),250,25,13,36,"120,00",25.05.2023,TÜRKÇE,91,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2665,9
Kiraz Ağacı ile Aramızdaki Mesafe,"Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal",Paola Peretti,TİMAŞ GENÇ,5 / 5 (1350 oy),14.623,1.080,156,2.335,"210,00",18.04.2022,TÜRKÇE,208,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,51065,656
Dünyanın En Korkak Hayvanı,Kitap > Çocuk Kitapları > Hikaye,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (72 oy),1.144,55,8,117,"90,00",08.03.2024,TÜRKÇE,32,Karton Kapak,15 x 21 cm,Kitap Kağıdı,6325,42
Akan Nehir Gibi,Kitap > Edebiyat > Anlatı,Paulo Coelho,CAN YAYINLARI,4 / 5 (26 oy),1.899,83,7,51,"220,00",22.04.2025,TÜRKÇE,240,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,2348,18
Sevme Sanatı / Bir Eylem Olarak Sevmek,Kitap > Edebiyat > Roman (Çeviri),Erich Fromm,SAY YAYINLARI,5 / 5 (208 oy),5.802,248,29,316,"300,00",22.02.2022,TÜRKÇE,200,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,9839,106
Çöl Çiçeği,Kitap > Edebiyat > Roman (Çeviri),Waris Dirie,BİLGE KÜLTÜR SANAT,5 / 5 (378 oy),7.854,357,38,696,"240,00",21.08.2024,TÜRKÇE,256,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,11540,290
